SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,ANNUAL
Jharkhand,1987,16,86.1,1174.1,56.5,1332.7
Jharkhand,1988,40.2,89.5,981,42.9,1153.6
Jharkhand,1989,2.2,69.3,1009.5,67.9,1148.9
Jharkhand,1990,48.8,128.2,1084.9,142.6,1404.5
Jharkhand,1991,27.3,76,1082.2,65.5,1251
Jharkhand,1992,8.4,61.2,839.2,24.4,933.2
Jharkhand,1993,3.7,98.6,1035.9,65.8,1204
Jharkhand,1994,41.5,49.8,1366.4,121.7,1579.4
Jharkhand,1995,23.4,57,1143.9,142.3,1366.6
Jharkhand,1996,41.5,31.4,1094.7,24,1191.6
Jharkhand,1997,13.2,56.1,1262.1,129.9,1461.3
Jharkhand,1998,96.9,133.4,964.1,159.3,1353.7
Jharkhand,1999,0.7,97,1345.1,144.1,1586.9
Jharkhand,2000,24.8,93.6,1053.4,19.7,1191.5
Jharkhand,2001,5.9,101.4,1031.5,115.7,1254.5
Jharkhand,2002,14.4,60.9,902.5,57.1,1034.9
Jharkhand,2003,33.8,73,869,269.1,1244.9
Jharkhand,2004,8.2,75.2,923.6,129.8,1136.8
Jharkhand,2005,39.6,50.8,779.6,90.5,960.5
Jharkhand,2006,0.5,145.5,1281.3,32,1459.3
Jharkhand,2007,50.1,105.9,1234.1,47.2,1437.3
Jharkhand,2008,23,59.8,1207.6,35,1325.4
Jharkhand,2009,2.6,80.9,826.1,86.7,996.3
Jharkhand,2010,2.5,36.4,578.4,79.8,697.1
Jharkhand,2011,5.8,86.8,1258.6,23.4,1374.6
Jharkhand,2012,44.9,17.7,908.3,94,1064.9
Jharkhand,2013,19,108.9,844.5,281.1,1253.5
Jharkhand,2014,57.4,123,930.1,46.1,1156.6
Jharkhand,2015,14.8,102.6,938.8,25.6,1081.8
Jharkhand,2016,20.2,91.3,1107,45.6,1264.1
Jharkhand,2017,5.2,66.5,988.1,105.9,1165.7
Bihar,1901,71.4,78.6,786.7,15.7,952.4
Bihar,1902,5.3,107.9,1063.4,29.6,1206.2
Bihar,1903,10,34.9,824.4,147.1,1016.4
Bihar,1904,8,127.5,1021.7,112.5,1269.7
Bihar,1905,46.1,131.5,1308.8,12.2,1498.6
Bihar,1906,71.3,54.2,1106.3,33.3,1265.1
Bihar,1907,56.5,99.3,963.7,6.9,1126.4
Bihar,1908,53.3,45,613.5,25.7,737.5
Bihar,1909,13.3,98.6,1230,48.7,1390.6
Bihar,1910,7.2,63.8,1231.9,95.5,1398.4
Bihar,1911,9.5,83,1215.9,140.6,1449
Bihar,1912,14,112,916.8,86.6,1129.4
Bihar,1913,38,125.6,1272,94.3,1529.9
Bihar,1914,22.9,114,912.3,10.7,1059.9
Bihar,1915,65.3,101.4,1070.5,112.3,1349.5
Bihar,1916,17.1,50.7,1306.3,130.5,1504.6
Bihar,1917,22.4,117,1077.9,116.7,1334
Bihar,1918,0.7,136.7,1265.5,8.7,1411.6
Bihar,1919,47.9,57.7,1087.7,59.3,1252.6
Bihar,1920,19.2,62.4,1036.6,5.6,1123.8
Bihar,1921,27.4,54,1154,37,1272.4
Bihar,1922,16.8,31.6,1377.9,22.9,1449.2
Bihar,1923,36.4,53.1,817.7,75.5,982.7
Bihar,1924,15.2,25.4,1300.6,115,1456.2
Bihar,1925,9.5,99.2,1054.2,28.6,1191.5
Bihar,1926,16.9,89.5,987.2,28.1,1121.7
Bihar,1927,60.6,87.9,891.5,60.3,1100.3
Bihar,1928,62.7,72.7,941.4,172.8,1249.6
Bihar,1929,52.7,60.7,970,275.8,1359.2
Bihar,1930,19.2,48.8,981.5,64.8,1114.3
Bihar,1931,33.7,40.5,984.2,88,1146.4
Bihar,1932,8.2,41.9,756.9,120,927
Bihar,1933,41.4,153.1,1119.9,78.2,1392.6
Bihar,1934,43.8,34.1,1080.6,67.8,1226.3
Bihar,1935,40.6,23.2,1173.7,2.8,1240.3
Bihar,1936,14.6,96.6,1361.8,99.5,1572.5
Bihar,1937,66.3,91.5,952.6,196,1306.4
Bihar,1938,29.4,118.4,1331,27.9,1506.7
Bihar,1939,47.3,54.5,1084.5,56.9,1243.2
Bihar,1940,44.7,102.4,918.7,22.4,1088.2
Bihar,1941,19,72.4,1082.7,48.9,1223
Bihar,1942,77.9,61,1105.8,7.9,1252.6
Bihar,1943,51.6,77.9,1003.3,37,1169.8
Bihar,1944,59.9,98,1021.5,49.5,1228.9
Bihar,1945,74.7,91.6,918.5,158,1242.8
Bihar,1946,21.3,145.9,1063,163.6,1393.8
Bihar,1947,11.2,75.4,943.7,61.9,1092.2
Bihar,1948,18.6,61.2,1102.3,117.2,1299.3
Bihar,1949,59.3,134.3,1146.3,104.5,1444.4
Bihar,1950,21.6,67.6,1030.2,5.2,1124.6
Bihar,1951,8.8,36.8,771.1,33.5,850.2
Bihar,1952,11.4,101.7,1074.6,19.2,1206.9
Bihar,1953,33.9,62.8,1262,20.1,1378.8
Bihar,1954,20.9,42.3,970.8,16.6,1050.6
Bihar,1955,26.7,42.4,1139.1,36.1,1244.3
Bihar,1956,24,90.3,1166.1,212.9,1493.3
Bihar,1957,78,13.4,861.1,14.3,966.8
Bihar,1958,18.7,47.2,1018.8,82.8,1167.5
Bihar,1959,82.7,63.7,799.4,233.9,1179.7
Bihar,1960,1.5,97.8,1108.6,39.9,1247.8
Bihar,1961,47.5,37.3,926.3,246.9,1258
Bihar,1962,20.8,69.1,1012.4,75.7,1178
Bihar,1963,5.1,105.8,1058.6,156.7,1326.2
Bihar,1964,4.7,83.6,965,69,1122.3
Bihar,1965,1.6,30.5,944.3,26.4,1002.8
Bihar,1966,28.1,40.5,661.4,37,767
Bihar,1967,0.3,92.8,894.8,11.9,999.8
Bihar,1968,30.8,27.3,963.7,118.2,1140
Bihar,1969,14.5,94.8,1140,39.2,1288.5
Bihar,1970,35.5,60.3,943.9,34.9,1074.6
Bihar,1971,31.9,178,1082.1,140.5,1432.5
Bihar,1972,50.9,9.3,584.7,73,717.9
Bihar,1973,33.1,73.2,916.3,166.5,1189.1
Bihar,1974,4.6,70.9,1127.7,32,1235.2
Bihar,1975,13.2,57.4,946.8,51.7,1069.1
Bihar,1976,14.7,89.9,1033.5,23.6,1161.7
Bihar,1977,8.2,102,865,172.5,1147.7
Bihar,1978,41.2,93.1,1005.2,151.3,1290.8
Bihar,1979,42.8,29.8,805.2,124,1001.8
Bihar,1980,7.1,98.3,1115.9,30.7,1252
Bihar,1981,37,148.5,1168.1,11,1364.6
Bihar,1982,10.5,73.9,784.6,64.6,933.6
Bihar,1983,14.8,134.1,871.4,84,1104.3
Bihar,1984,62.5,78.1,1265.7,19.9,1426.2
Bihar,1985,9.3,77.7,1171.7,196.3,1455
Bihar,1986,15,110.8,1048.7,147.6,1322.1
Bihar,1987,4.4,83.2,1515.1,57.8,1660.5
Bihar,1988,16.5,120.4,1151.6,49,1337.5
Bihar,1989,17.6,107.4,1101.7,43.2,1269.9
Bihar,1990,30.5,111.1,1047.7,49.9,1239.2
Bihar,1991,20.8,48,950.6,26.4,1045.8
Bihar,1992,5.7,63.8,673.8,54.2,797.5
Bihar,1993,13.4,100.1,1041.2,53.7,1208.4
Bihar,1994,57.4,40.7,832.7,38.5,969.3
Bihar,1995,18.4,8.8,1005.2,79.6,1112
Bihar,1996,47.7,21.4,972,66.2,1107.3
Bihar,1997,11.6,74.4,1148.3,69.4,1303.7
Bihar,1998,19.6,88.4,1127.1,97.5,1332.6
Bihar,1999,0.3,87.8,1193,121.6,1402.7
Bihar,2000,12.6,137,1047.7,9.7,1207
Bihar,2001,1.5,114,949.8,181.8,1247.1
Bihar,2002,24.7,102,943.2,35.9,1105.8
Bihar,2003,52.9,73.5,1082.2,145.2,1353.8
Bihar,2004,24.8,106.9,956.4,59.5,1147.6
Bihar,2005,28.2,48.4,796.7,34.5,907.8
Bihar,2006,0.1,94.3,936.3,22.1,1052.8
Bihar,2007,34.4,140.1,1369.4,56.2,1600.1
Bihar,2008,30,62.5,1083.6,21.5,1197.6
Bihar,2009,0.7,102.5,707.8,78.5,889.5
Bihar,2010,1.2,51.1,536.2,40.7,629.2
Bihar,2011,11.9,107.6,964.9,12.9,1097.3
Bihar,2012,20.8,46.5,924.4,40.7,1032.4
Bihar,2013,27.7,122.4,722.2,197.5,1069.8
Bihar,2014,50.5,113,848.5,49,1061
Bihar,2015,14.6,105.4,742.3,10.4,872.7
Bihar,2016,9.9,93.5,993.8,60.8,1158
Bihar,2017,0.7,124.3,936.9,50.1,1112
East Uttar Pradesh,1901,93.9,22.9,749.3,7.1,873.2
East Uttar Pradesh,1902,8.4,25.8,856.6,14.4,905.2
East Uttar Pradesh,1903,8.6,17.3,865.8,324.7,1216.4
East Uttar Pradesh,1904,8.8,37.4,931.2,93.9,1071.3
East Uttar Pradesh,1905,40.4,40.8,805.4,4.9,891.5
East Uttar Pradesh,1906,63.9,20.2,908.2,5.2,997.5
East Uttar Pradesh,1907,77,50.6,538.7,0.1,666.4
East Uttar Pradesh,1908,34.9,13.7,683.9,12.2,744.7
East Uttar Pradesh,1909,13.8,73.2,990.1,29.5,1106.6
East Uttar Pradesh,1910,4.6,30.7,949.8,131.2,1116.3
East Uttar Pradesh,1911,40.2,35.3,901.8,136.6,1113.9
East Uttar Pradesh,1912,23.3,31,793.8,31.4,879.5
East Uttar Pradesh,1913,37.7,101.2,692.7,30,861.6
East Uttar Pradesh,1914,17.4,85.4,883.1,2.9,988.8
East Uttar Pradesh,1915,58,51.5,1197.9,102.4,1409.8
East Uttar Pradesh,1916,20.1,14.2,1106.9,60.6,1201.8
East Uttar Pradesh,1917,40.1,56.1,1060.3,60,1216.5
East Uttar Pradesh,1918,0.7,29.9,618,2.1,650.7
East Uttar Pradesh,1919,55.8,21.6,882.5,63.6,1023.5
East Uttar Pradesh,1920,12.5,30.4,814.2,3.1,860.2
East Uttar Pradesh,1921,41.9,11.5,1049.3,12.1,1114.8
East Uttar Pradesh,1922,33.3,7.3,1304.2,19.2,1364
East Uttar Pradesh,1923,39.3,5.6,920.7,110.4,1076
East Uttar Pradesh,1924,18.8,3.4,1049.2,48.6,1120
East Uttar Pradesh,1925,5.2,38,1054.1,16.9,1114.2
East Uttar Pradesh,1926,13.8,77.6,869.2,28.8,989.4
East Uttar Pradesh,1927,27.7,46.8,806.4,150.2,1031.1
East Uttar Pradesh,1928,109.2,25.1,586.5,84,804.8
East Uttar Pradesh,1929,43.8,21.3,853.5,96.3,1014.9
East Uttar Pradesh,1930,28.1,14.8,971,55.5,1069.4
East Uttar Pradesh,1931,27.9,10.6,906,102.6,1047.1
East Uttar Pradesh,1932,5.5,11.2,672.6,49.2,738.5
East Uttar Pradesh,1933,33.3,86.7,757.1,100.5,977.6
East Uttar Pradesh,1934,35.3,15,1003.1,14.9,1068.3
East Uttar Pradesh,1935,37.9,11,856.3,14.6,919.8
East Uttar Pradesh,1936,37.4,32.9,1425,50.1,1545.4
East Uttar Pradesh,1937,58.3,28.6,874.5,73.9,1035.3
East Uttar Pradesh,1938,36,39.1,1265.6,33.4,1374.1
East Uttar Pradesh,1939,35,7.9,881.4,20.7,945
East Uttar Pradesh,1940,29.2,47,759.1,31.7,867
East Uttar Pradesh,1941,24.6,19.7,749.6,4.2,798.1
East Uttar Pradesh,1942,112,17.5,892.8,6.4,1028.7
East Uttar Pradesh,1943,31.6,36.4,1017.6,15.4,1101
East Uttar Pradesh,1944,60.8,82.4,867.5,50.7,1061.4
East Uttar Pradesh,1945,48.3,28.6,789,114.6,980.5
East Uttar Pradesh,1946,25.7,62.4,845.8,105,1038.9
East Uttar Pradesh,1947,24.6,26.5,925.9,29.3,1006.3
East Uttar Pradesh,1948,38.2,15.2,1187.8,81.9,1323.1
East Uttar Pradesh,1949,45.1,33.5,965.3,87.2,1131.1
East Uttar Pradesh,1950,36.3,30.6,856,28.5,951.4
East Uttar Pradesh,1951,38.3,30.2,669.3,14.8,752.6
East Uttar Pradesh,1952,15.6,45.8,867.6,7,936
East Uttar Pradesh,1953,38.7,19.6,1203.2,5.3,1266.8
East Uttar Pradesh,1954,68.6,5.3,862,33.8,969.7
East Uttar Pradesh,1955,44,7.6,1273.5,99.2,1424.3
East Uttar Pradesh,1956,27.2,53.2,958.9,214.8,1254.1
East Uttar Pradesh,1957,44.6,20,880.5,10.6,955.7
East Uttar Pradesh,1958,17.8,11.5,872.8,114.8,1016.9
East Uttar Pradesh,1959,57.4,44.9,639,127.9,869.2
East Uttar Pradesh,1960,9.7,45.1,977.9,137.3,1170
East Uttar Pradesh,1961,50.3,8.2,939.6,216,1214.1
East Uttar Pradesh,1962,45.6,17.2,1001.5,7.7,1072
East Uttar Pradesh,1963,17.2,38,906.7,34.6,996.5
East Uttar Pradesh,1964,8.2,47.3,953.7,27.6,1036.8
East Uttar Pradesh,1965,2.8,31.9,601.2,49.6,685.5
East Uttar Pradesh,1966,22.3,8.6,632.4,44.4,707.7
East Uttar Pradesh,1967,2.2,47.8,944.9,34.4,1029.3
East Uttar Pradesh,1968,34.3,8.8,761.6,35.2,839.9
East Uttar Pradesh,1969,5.4,47.2,952,20.1,1024.7
East Uttar Pradesh,1970,72.6,40.8,967.6,51.3,1132.3
East Uttar Pradesh,1971,27.3,101.2,1106.3,76.3,1311.1
East Uttar Pradesh,1972,33.1,5.1,588.8,39.8,666.8
East Uttar Pradesh,1973,30,18.6,797.1,109.9,955.6
East Uttar Pradesh,1974,3.7,12.1,812.9,53.4,882.1
East Uttar Pradesh,1975,21.1,21.9,1142.2,40.3,1225.5
East Uttar Pradesh,1976,9.6,29.3,879.5,5.2,923.6
East Uttar Pradesh,1977,14,40.8,777.1,82.2,914.1
East Uttar Pradesh,1978,55.1,47.7,996,17.7,1116.5
East Uttar Pradesh,1979,58.2,21.1,555.5,61.7,696.5
East Uttar Pradesh,1980,7.2,24.7,1426,30.7,1488.6
East Uttar Pradesh,1981,23.3,45.8,1025.8,15.4,1110.3
East Uttar Pradesh,1982,44.6,96.3,933.8,35.9,1110.6
East Uttar Pradesh,1983,21.6,71.5,981.9,130,1205
East Uttar Pradesh,1984,47.5,21.5,984.4,23.2,1076.6
East Uttar Pradesh,1985,20.8,13.1,970.5,171.5,1175.9
East Uttar Pradesh,1986,43.6,32.5,784.4,75.1,935.6
East Uttar Pradesh,1987,17.5,31.2,693.7,82.2,824.6
East Uttar Pradesh,1988,13.4,48.8,949.7,73.2,1085.1
East Uttar Pradesh,1989,18.8,16.6,911.2,23.3,969.9
East Uttar Pradesh,1990,42.6,53.6,990.6,19.4,1106.2
East Uttar Pradesh,1991,19.5,15.9,818.7,21.2,875.3
East Uttar Pradesh,1992,17.7,15.5,719,111.2,863.4
East Uttar Pradesh,1993,6.8,66,752.4,8.6,833.8
East Uttar Pradesh,1994,46.9,17.2,835.9,10.3,910.3
East Uttar Pradesh,1995,42.3,6,784.4,27.5,860.2
East Uttar Pradesh,1996,95.2,4.3,831.1,79.8,1010.4
East Uttar Pradesh,1997,6.4,29.7,434.4,23,493.5
East Uttar Pradesh,1998,18.1,40.9,584.5,17.5,661
East Uttar Pradesh,1999,15.5,23.8,839.4,74,952.7
East Uttar Pradesh,2000,7.9,52,867.4,19.6,946.9
East Uttar Pradesh,2001,2.5,32.2,861,78.1,973.8
East Uttar Pradesh,2002,41.1,32.3,591.1,24.7,689.2
East Uttar Pradesh,2003,50.7,13.4,1015.3,16.9,1096.3
East Uttar Pradesh,2004,24.6,34.5,654.6,33.2,746.9
East Uttar Pradesh,2005,28,19.2,694.8,28.1,770.1
East Uttar Pradesh,2006,0,45.6,574.7,11.8,632.1
East Uttar Pradesh,2007,46.7,57.3,621.6,15.7,741.3
East Uttar Pradesh,2008,5.5,19.3,917.6,10.9,953.3
East Uttar Pradesh,2009,1.1,24.2,495.9,88.8,610
East Uttar Pradesh,2010,12.2,14.7,645.1,20.1,692.1
East Uttar Pradesh,2011,3.7,36.7,740.2,0.6,781.2
East Uttar Pradesh,2012,21.5,6.4,573.1,1.7,602.7
East Uttar Pradesh,2013,65.7,12.5,864,99,1041.2
East Uttar Pradesh,2014,73.2,27.8,517.1,83.1,701.2
East Uttar Pradesh,2015,34.1,80,472,17.2,603.3
East Uttar Pradesh,2016,6.6,48.8,790.3,25.9,871.6
East Uttar Pradesh,2017,9.8,32.1,650,3,694.9
West Uttar Pradesh,1901,77,15.8,667.7,15.5,776
West Uttar Pradesh,1902,9.2,12.6,704.1,10.7,736.6
West Uttar Pradesh,1903,13.8,9.4,607.6,177.7,808.5
West Uttar Pradesh,1904,8.3,54.9,835.5,46.6,945.3
West Uttar Pradesh,1905,58.9,25.5,345.9,3.1,433.4
West Uttar Pradesh,1906,66.5,25.1,880.2,6.8,978.6
West Uttar Pradesh,1907,78.6,54.4,456.7,0,589.7
West Uttar Pradesh,1908,33.8,15.6,814.5,2.2,866.1
West Uttar Pradesh,1909,22.8,71.9,775.8,32.5,903
West Uttar Pradesh,1910,13.6,14.9,688.2,159,875.7
West Uttar Pradesh,1911,64.3,32.7,598,56.7,751.7
West Uttar Pradesh,1912,30.5,17.6,745.2,11,804.3
West Uttar Pradesh,1913,37.6,80.8,368.8,8,495.2
West Uttar Pradesh,1914,8.6,70.2,791.9,16.8,887.5
West Uttar Pradesh,1915,80.9,69.6,631.8,20.2,802.5
West Uttar Pradesh,1916,18,12.9,1027,56.3,1114.2
West Uttar Pradesh,1917,35.3,77,924.3,83.6,1120.2
West Uttar Pradesh,1918,7.9,21.3,337.8,4.9,371.9
West Uttar Pradesh,1919,73,23.3,842.1,30.5,968.9
West Uttar Pradesh,1920,14.5,29.7,576.8,1.8,622.8
West Uttar Pradesh,1921,50.7,5,923.6,12.9,992.2
West Uttar Pradesh,1922,40.9,4.2,931.5,24.2,1000.8
West Uttar Pradesh,1923,44.6,7.7,772.4,77.5,902.2
West Uttar Pradesh,1924,49.4,10.1,937.9,66.7,1064.1
West Uttar Pradesh,1925,4.4,18.1,896.3,25.1,943.9
West Uttar Pradesh,1926,21.2,93.2,778.8,23.9,917.1
West Uttar Pradesh,1927,23,42.7,708.7,159.8,934.2
West Uttar Pradesh,1928,118.5,18.3,437.1,70.7,644.6
West Uttar Pradesh,1929,28.8,9.1,561.1,51.4,650.4
West Uttar Pradesh,1930,42.1,7.5,703.7,35.1,788.4
West Uttar Pradesh,1931,26.4,13,807,84.4,930.8
West Uttar Pradesh,1932,4.2,20.1,665,16.6,705.9
West Uttar Pradesh,1933,20.2,58.9,868.1,88.3,1035.5
West Uttar Pradesh,1934,29.9,29.6,825.3,12.9,897.7
West Uttar Pradesh,1935,50.4,18.9,683.7,31.7,784.7
West Uttar Pradesh,1936,20.4,31.9,1123.3,43,1218.6
West Uttar Pradesh,1937,64.9,23.8,574.4,13.8,676.9
West Uttar Pradesh,1938,45.1,9.1,657.2,19,730.4
West Uttar Pradesh,1939,29.2,9.8,678.9,3.2,721.1
West Uttar Pradesh,1940,60.4,30.6,675.4,17.5,783.9
West Uttar Pradesh,1941,43.9,17.6,448.4,6.4,516.3
West Uttar Pradesh,1942,87.5,12.6,974.4,13.7,1088.2
West Uttar Pradesh,1943,26.3,27.9,791.6,4.6,850.4
West Uttar Pradesh,1944,75.5,69.9,602.2,22.8,770.4
West Uttar Pradesh,1945,35.5,9.5,879.3,41.7,966
West Uttar Pradesh,1946,19.4,33,788,56.4,896.8
West Uttar Pradesh,1947,30.3,14.1,746.1,18.5,809
West Uttar Pradesh,1948,56,17.5,922,32.6,1028.1
West Uttar Pradesh,1949,38.9,17.3,829,21.4,906.6
West Uttar Pradesh,1950,26.9,29,763.2,15,834.1
West Uttar Pradesh,1951,24.6,53,626,25.2,728.8
West Uttar Pradesh,1952,26.6,34.1,804.9,9.7,875.3
West Uttar Pradesh,1953,37.4,13.3,709.3,1.6,761.6
West Uttar Pradesh,1954,102.5,11.8,665,99.9,879.2
West Uttar Pradesh,1955,50.5,7.8,808.9,193.7,1060.9
West Uttar Pradesh,1956,27.4,35,788.5,213.6,1064.5
West Uttar Pradesh,1957,60,36.9,874.6,33.7,1005.2
West Uttar Pradesh,1958,10.5,9.7,1013.2,132,1165.4
West Uttar Pradesh,1959,50.2,41.1,610.3,66.7,768.3
West Uttar Pradesh,1960,11.6,42,886.4,189.6,1129.6
West Uttar Pradesh,1961,77.6,9.8,956.9,153.8,1198.1
West Uttar Pradesh,1962,52.6,18.1,719.7,7.8,798.2
West Uttar Pradesh,1963,18.6,18.4,877.2,15.5,929.7
West Uttar Pradesh,1964,3.1,22.7,962.8,13.4,1002
West Uttar Pradesh,1965,18.4,42.3,586.9,26,673.6
West Uttar Pradesh,1966,19,21.5,695.6,20,756.1
West Uttar Pradesh,1967,0.6,39.5,1048.5,68.5,1157.1
West Uttar Pradesh,1968,30.2,10.4,635.4,17.1,693.1
West Uttar Pradesh,1969,8.8,31.4,822.1,15.8,878.1
West Uttar Pradesh,1970,82.4,24.9,739.7,16.9,863.9
West Uttar Pradesh,1971,23.4,59.1,829.9,90.5,1002.9
West Uttar Pradesh,1972,30.3,8,528.3,18.5,585.1
West Uttar Pradesh,1973,20.2,10.5,722.5,52.8,806
West Uttar Pradesh,1974,0.9,8.8,601.5,57.7,668.9
West Uttar Pradesh,1975,21.2,10.3,935.3,22.6,989.4
West Uttar Pradesh,1976,13.4,16.2,619.9,3.5,653
West Uttar Pradesh,1977,18.7,42.9,887.5,45.3,994.4
West Uttar Pradesh,1978,37.7,66.1,1127.8,12.4,1244
West Uttar Pradesh,1979,93.7,42.8,393.8,27.7,558
West Uttar Pradesh,1980,9.3,21.9,917.8,35.6,984.6
West Uttar Pradesh,1981,24.2,37.4,650,27.9,739.5
West Uttar Pradesh,1982,38.8,126.1,769.4,34.7,969
West Uttar Pradesh,1983,33.5,99,994.5,64.7,1191.7
West Uttar Pradesh,1984,52.2,8.3,719.6,1.1,781.2
West Uttar Pradesh,1985,7.5,14.7,776,159,957.2
West Uttar Pradesh,1986,61.3,39.4,584.4,30.2,715.3
West Uttar Pradesh,1987,28.3,44.3,356.2,38.1,466.9
West Uttar Pradesh,1988,14.9,40.7,955.9,24,1035.5
West Uttar Pradesh,1989,25.7,17,596.2,18.5,657.4
West Uttar Pradesh,1990,67.5,39.7,826.4,24.6,958.2
West Uttar Pradesh,1991,21.8,13.1,684.3,29.6,748.8
West Uttar Pradesh,1992,23.9,12.2,708.3,76.3,820.7
West Uttar Pradesh,1993,17.2,37.4,702.3,15.2,772.1
West Uttar Pradesh,1994,41.3,18.9,746.7,0.1,807
West Uttar Pradesh,1995,41.3,11.6,771.8,2.2,826.9
West Uttar Pradesh,1996,80.6,6.8,817.5,36.2,941.1
West Uttar Pradesh,1997,4.5,44.4,374.2,22.1,445.2
West Uttar Pradesh,1998,11.4,42.9,772.7,40.3,867.3
West Uttar Pradesh,1999,20.4,8.3,723.5,34.2,786.4
West Uttar Pradesh,2000,31.7,27.4,712.2,0,771.3
West Uttar Pradesh,2001,4.8,44.2,595.2,17.5,661.7
West Uttar Pradesh,2002,54.4,24.2,529,17.6,625.2
West Uttar Pradesh,2003,59,12.8,960.5,15.1,1047.4
West Uttar Pradesh,2004,21.3,41.7,518,61.4,642.4
West Uttar Pradesh,2005,28,30.7,663.8,3.1,725.6
West Uttar Pradesh,2006,0.5,58.3,452,18.4,529.2
West Uttar Pradesh,2007,67.3,49.3,452.7,3.2,572.5
West Uttar Pradesh,2008,1.1,28.8,760.6,9.1,799.6
West Uttar Pradesh,2009,5.2,22.7,445.3,76,549.2
West Uttar Pradesh,2010,16.9,9.9,772.2,21.6,820.6
West Uttar Pradesh,2011,12.5,36.3,725.8,2.7,777.3
West Uttar Pradesh,2012,14.6,6.4,366,2.6,389.6
West Uttar Pradesh,2013,89.9,7.2,763.8,71.8,932.7
West Uttar Pradesh,2014,77.7,38.9,339.3,30.9,486.8
West Uttar Pradesh,2015,38.8,95.9,436.2,11.9,582.8
West Uttar Pradesh,2016,4.1,39.2,640.1,9.6,693
West Uttar Pradesh,2017,23.1,23.4,536.6,2.2,585.3
Uttarakhand,1901,215.9,111.2,1194.1,41.2,1562.4
Uttarakhand,1902,17,168,1105.1,34,1324.1
Uttarakhand,1903,75.9,135.4,1026.6,68.8,1306.7
Uttarakhand,1904,45.2,153,1221,72.9,1492.1
Uttarakhand,1905,196.1,196.2,890.4,19.5,1302.2
Uttarakhand,1906,188.1,91.5,1232.6,25.8,1538
Uttarakhand,1907,181,243.7,769.1,0.5,1194.3
Uttarakhand,1908,124,84.4,1036,11.7,1256.1
Uttarakhand,1909,118.9,89.8,1430.9,78.2,1717.8
Uttarakhand,1910,73.4,92.8,1517.3,280.4,1963.9
Uttarakhand,1911,215.6,230.2,1001.7,95.4,1542.9
Uttarakhand,1912,110.1,123.7,1119.1,41.4,1394.3
Uttarakhand,1913,103.2,193,789.1,52.3,1137.6
Uttarakhand,1914,120.8,248.2,1522,49.9,1940.9
Uttarakhand,1915,158.7,198.8,1218.2,25.5,1601.2
Uttarakhand,1916,39.5,71.5,1483.9,83.8,1678.7
Uttarakhand,1917,63,263.2,1637.7,139.1,2103
Uttarakhand,1918,17.2,206,961.6,30.6,1215.4
Uttarakhand,1919,205.6,135.3,1189.4,53,1583.3
Uttarakhand,1920,58.8,176,1078.2,15.5,1328.5
Uttarakhand,1921,106.6,35.8,1645.7,60.7,1848.8
Uttarakhand,1922,120.8,44.8,1638.3,56.2,1860.1
Uttarakhand,1923,227.1,56.2,1175.1,124.5,1582.9
Uttarakhand,1924,102.6,77.9,1555.1,191.5,1927.1
Uttarakhand,1925,52,112.2,1314,56.8,1535
Uttarakhand,1926,50.2,252.8,1044.1,34.2,1381.3
Uttarakhand,1927,135.5,144.5,1195.8,174,1649.8
Uttarakhand,1928,239.6,86,863.6,52.6,1241.8
Uttarakhand,1929,86.1,59.2,886.8,180,1212.1
Uttarakhand,1930,138.4,126.5,951,55.3,1271.2
Uttarakhand,1931,97.7,103.9,1016.6,116,1334.2
Uttarakhand,1932,20.4,74.1,1205,70.2,1369.7
Uttarakhand,1933,118.9,165.4,1182.3,129.2,1595.8
Uttarakhand,1934,76.7,50.2,1168.6,43.6,1339.1
Uttarakhand,1935,127.5,68.7,912,28.9,1137.1
Uttarakhand,1936,61.6,168.6,1547.5,134.6,1912.3
Uttarakhand,1937,159.8,98.7,1222.7,52.3,1533.5
Uttarakhand,1938,207.9,49,1260,12.3,1529.2
Uttarakhand,1939,103.2,63.8,951.5,24.2,1142.7
Uttarakhand,1940,149.7,123.3,913.7,37.1,1223.8
Uttarakhand,1941,95.5,85.8,821.6,58.7,1061.6
Uttarakhand,1942,190.8,105.9,1352.1,62.7,1711.5
Uttarakhand,1943,78.8,97.2,1189.9,0.6,1366.5
Uttarakhand,1944,148.6,132.2,885.6,32.4,1198.8
Uttarakhand,1945,124.7,98.5,1330.8,93.9,1647.9
Uttarakhand,1946,48.4,206.7,1184.6,87,1526.7
Uttarakhand,1947,99,98.3,1134.9,27.8,1360
Uttarakhand,1948,104.6,180.5,1187.9,62.5,1535.5
Uttarakhand,1949,142.8,121.1,1121.1,27.2,1412.2
Uttarakhand,1950,89.8,97.9,1387.1,9.3,1584.1
Uttarakhand,1951,95.8,139.2,882.1,57.4,1174.5
Uttarakhand,1952,100.5,180.2,1175.9,21.2,1477.8
Uttarakhand,1953,132.9,124.2,1264,44.8,1565.9
Uttarakhand,1954,273.6,55.1,1368.7,165.4,1862.8
Uttarakhand,1955,98.9,112.8,1172.8,282.5,1667
Uttarakhand,1956,65.4,252.8,1222.3,402.4,1942.9
Uttarakhand,1957,173,226.7,1240.3,140.7,1780.7
Uttarakhand,1958,75.7,88.3,1201.5,133.5,1499
Uttarakhand,1959,161.3,127.4,1339.2,115,1742.9
Uttarakhand,1960,81.4,154.6,1209,95.1,1540.1
